epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99539,0,71.4044,0,0,0,0,0,0,54.8534,0,0,0,0
2,6.15565,0,71.3709,0,0,0,0,0,0,54.8804,0,1.40071e-05,1.40071e-05,1.40071e-05
3,9.08379,0,71.3317,0,0,0,0,0,0,54.9168,0,2.74482e-05,2.74482e-05,2.74482e-05
4,12.232,0,70.9494,0,0,0,0,0,0,54.9559,0,4.03235e-05,4.03235e-05,4.03235e-05
5,15.1968,0,70.7013,0,0,0,0,0,0,54.9986,0,5.26329e-05,5.26329e-05,5.26329e-05
6,18.4424,0,70.3938,0,0,0,0,0,0,55.0396,0,6.43764e-05,6.43764e-05,6.43764e-05
7,21.5658,0,69.9949,0,0,0,0,0,0,55.0689,0,7.55541e-05,7.55541e-05,7.55541e-05
8,24.859,0,69.568,0,0,0,0,0,0,55.0808,0,8.61658e-05,8.61658e-05,8.61658e-05
9,28.0839,0,69.3319,0,0,0,0,0,0,55.0791,0,9.62117e-05,9.62117e-05,9.62117e-05
10,32.0779,0,68.8622,0,0,0,0,0,0,55.0623,0,0.000105692,0.000105692,0.000105692
11,37.1546,0,68.5054,0,0,0,0,0,0,55.0315,0,0.000114606,0.000114606,0.000114606
12,42.8098,0,67.951,0,0,0,0,0,0,54.9904,0,0.000122954,0.000122954,0.000122954
13,48.0661,0,67.3848,0,0,0,0,0,0,54.9553,0,0.000130736,0.000130736,0.000130736
14,53.216,0,66.9632,0,0,0,0,0,0,54.918,0,0.000137953,0.000137953,0.000137953
15,58.0862,0,66.3091,0,0,0,0,0,0,54.8913,0,0.000144603,0.000144603,0.000144603
16,63.2212,0,65.7647,0,0,0,0,0,0,54.8599,0,0.000150688,0.000150688,0.000150688
17,67.8083,0,65.0516,0,0,0,0,0,0,54.8156,0,0.000156207,0.000156207,0.000156207
18,72.1603,0,64.4475,0,0,0,0,0,0,54.8156,0,0.00016116,0.00016116,0.00016116
19,76.6352,0,64.3012,0,0,0,0,0,0,54.7982,0,0.000165547,0.000165547,0.000165547
20,81.5299,0,63.5458,0,0,0,0,0,0,54.7982,0,0.000169368,0.000169368,0.000169368
21,86.8131,0,63.6412,0,0,0,0,0,0,54.787,0,0.000172623,0.000172623,0.000172623
22,92.3107,0,62.8514,0,0,0,0,0,0,54.787,0,0.000175313,0.000175313,0.000175313
23,97.7375,0,62.963,0,0,0,0,0,0,54.7665,0,0.000177436,0.000177436,0.000177436
24,103.676,0,62.0895,0,0,0,0,0,0,54.7665,0,0.000178994,0.000178994,0.000178994
25,109.964,0,61.9394,0,0,0,0,0,0,54.7305,0,0.000179985,0.000179985,0.000179985
26,116.795,0,61.0515,0,0,0,0,0,0,54.7305,0,0.000180411,0.000180411,0.000180411
27,123.741,0,61.6013,0,0,0,0,0,0,54.6848,0,0.000180271,0.000180271,0.000180271
28,130,0,60.5924,0,0,0,0,0,0,54.6848,0,0.000179565,0.000179565,0.000179565
29,136.307,0,62.1905,0,0,0,0,0,0,54.6035,0,0.000178293,0.000178293,0.000178293
30,146.702,0,60.1441,0,0,0,0,0,0,54.6035,0,0.000176456,0.000176456,0.000176456
31,154.791,0,60.2739,0,0,0,0,0,0,54.4881,0,0.000174052,0.000174052,0.000174052
32,162.498,0,59.7347,0,0,0,0,0,0,54.4881,0,0.000171083,0.000171083,0.000171083
33,170.565,0,59.5568,0,0,0,0,0,0,54.3703,0,0.000167547,0.000167547,0.000167547
34,178.534,0,59.1842,0,0,0,0,0,0,54.3703,0,0.000163446,0.000163446,0.000163446
35,186.283,0,58.9244,0,0,0,0,0,0,54.2284,0,0.000158779,0.000158779,0.000158779
36,194.113,0,58.6336,0,0,0,0,0,0,54.2284,0,0.000153546,0.000153546,0.000153546
37,202.475,0,58.3464,0,0,0,0,0,0,54.0588,0,0.000147747,0.000147747,0.000147747
38,210.483,0,57.7092,0,0,0,0,0,0,54.0588,0,0.000141382,0.000141382,0.000141382
39,217.863,0,58.278,0,0,0,0,0,0,53.8333,0,0.000134452,0.000134452,0.000134452
40,225.511,0,57.2214,0,0,0,0,0,0,53.8333,0,0.000126955,0.000126955,0.000126955
41,233.312,0,58.3294,0,0,0,0,0,0,53.6205,0,0.000118893,0.000118893,0.000118893
42,241.132,0,56.8867,0,0,0,0,0,0,53.6205,0,0.000110264,0.000110264,0.000110264
43,249.037,0,58.3537,0,0,0,0,0,0,53.4568,0,0.00010107,0.00010107,0.00010107
44,256.659,0,56.4269,0,0,0,0,0,0,53.4568,0,9.13102e-05,9.13102e-05,9.13102e-05
45,264.626,0,56.3693,0,0,0,0,0,0,53.2848,0,8.09843e-05,8.09843e-05,8.09843e-05
46,272.351,0,56.9449,0,0,0,0,0,0,53.2848,0,7.00924e-05,7.00924e-05,7.00924e-05
47,280.492,0,56.0006,0,0,0,0,0,0,53.1464,0,5.86347e-05,5.86347e-05,5.86347e-05
48,287.658,0,56.8352,0,0,0,0,0,0,53.1464,0,4.66111e-05,4.66111e-05,4.66111e-05
49,295.078,0,56.5547,0,0,0,0,0,0,53.0393,0,3.40216e-05,3.40216e-05,3.40216e-05
50,302.785,0,56.3591,0,0,0,0,0,0,53.0393,0,2.08663e-05,2.08663e-05,2.08663e-05
