epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.05749,1.80333,3.23196,2.11893,0.00835,1,0.60077,0.27534,1.31863,3.43803,1.43251,0,0,0
2,6.26574,1.88513,3.48983,1.87376,0.00824,1,0.49568,0.21149,1.27204,3.45704,1.40122,1.40071e-05,1.40071e-05,1.40071e-05
3,9.61567,2.09484,3.69823,2.07393,0.00823,1,0.5328,0.2383,1.27521,3.47327,1.39663,2.74482e-05,2.74482e-05,2.74482e-05
4,12.6463,1.79904,3.56553,2.12524,0.00839,1,0.50377,0.22112,1.28957,3.4373,1.38236,4.03235e-05,4.03235e-05,4.03235e-05
5,15.5908,1.79309,3.37838,1.95972,0.00856,1,0.50312,0.2205,1.23425,3.42499,1.35508,5.26329e-05,5.26329e-05,5.26329e-05
6,18.6905,2.03864,3.50338,2.05084,0.0087,1,0.48032,0.23168,1.24899,3.41328,1.34096,6.43764e-05,6.43764e-05,6.43764e-05
7,21.6919,1.54804,3.18464,1.85716,0.00919,1,0.44496,0.25158,1.28676,3.38753,1.31853,7.55541e-05,7.55541e-05,7.55541e-05
8,24.4335,1.33166,3.1885,1.53422,0.0097,1,0.46402,0.26645,1.2762,3.37342,1.30254,8.61658e-05,8.61658e-05,8.61658e-05
9,27.5436,1.29161,3.23283,1.53762,0.01031,1,0.52885,0.3105,1.26782,3.35477,1.30183,9.62117e-05,9.62117e-05,9.62117e-05
10,30.6401,1.07575,2.95829,1.38028,0.01106,1,0.54742,0.34034,1.21299,3.32916,1.3018,0.000105692,0.000105692,0.000105692
11,33.7945,1.32281,2.9495,1.57402,0.01165,1,0.54292,0.37027,1.13913,3.3281,1.27925,0.000114606,0.000114606,0.000114606
12,37.0648,1.19907,3.11926,1.61387,0.0124,1,0.65042,0.42782,1.10034,3.33307,1.27713,0.000122954,0.000122954,0.000122954
13,39.9903,1.0562,2.86948,1.50273,0.01299,1,0.6401,0.35596,1.0949,3.38613,1.30396,0.000130736,0.000130736,0.000130736
14,43.118,1.00068,2.69725,1.27783,0.01322,1,0.63392,0.35213,1.11393,3.37315,1.32496,0.000137953,0.000137953,0.000137953
15,46.2382,1.10749,2.57983,1.33016,0.01348,1,0.63274,0.34883,1.10799,3.38003,1.34501,0.000144603,0.000144603,0.000144603
16,49.3281,1.053,2.55728,1.42753,0.01389,1,0.66888,0.33922,1.12506,3.4141,1.44807,0.000150688,0.000150688,0.000150688
