epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,52.4443,1.0463,2.37268,1.38806,0.01008,0.83333,0.55741,0.26682,1.10434,3.44772,1.47164,0.000156207,0.000156207,0.000156207
18,55.3475,0.81275,2.38941,1.31011,0.01008,0.83333,0.55741,0.26682,1.10434,3.44772,1.47164,0.00016116,0.00016116,0.00016116
19,58.3337,1.21756,2.45576,1.47185,0.01084,0.83333,0.60963,0.41467,1.09651,3.41921,1.48137,0.000165547,0.000165547,0.000165547
20,61.2182,1.29242,2.32014,1.49449,0.01084,0.83333,0.60963,0.41467,1.09651,3.41921,1.48137,0.000169368,0.000169368,0.000169368
21,64.4212,1.03305,2.15119,1.30557,0.01013,0.83333,0.6095,0.40165,1.12701,3.39915,1.54457,0.000172623,0.000172623,0.000172623
22,67.575,0.95917,2.16115,1.39159,0.01013,0.83333,0.6095,0.40165,1.12701,3.39915,1.54457,0.000175313,0.000175313,0.000175313
23,70.6816,0.9589,2.24503,1.27632,0.01017,0.83333,0.6095,0.44591,1.16055,3.35741,1.60955,0.000177436,0.000177436,0.000177436
24,73.6523,0.85249,2.0222,1.22782,0.01017,0.83333,0.6095,0.44591,1.16055,3.35741,1.60955,0.000178994,0.000178994,0.000178994
25,76.8344,0.99315,2.1741,1.257,0.00988,0.83333,0.50237,0.30771,1.20134,3.29059,1.60475,0.000179985,0.000179985,0.000179985
26,79.8429,0.96215,1.96925,1.29301,0.00988,0.83333,0.50237,0.30771,1.20134,3.29059,1.60475,0.000180411,0.000180411,0.000180411
27,82.967,1.05652,2.66783,1.39239,0.0095,0.83333,0.5573,0.33903,1.23791,3.27735,1.64632,0.000180271,0.000180271,0.000180271
28,86.0723,1.17219,1.95166,1.32218,0.0095,0.83333,0.5573,0.33903,1.23791,3.27735,1.64632,0.000179565,0.000179565,0.000179565
29,89.371,1.0219,1.95021,1.28021,0.00952,0.83333,0.53254,0.30946,1.2465,3.2361,1.64162,0.000178293,0.000178293,0.000178293
30,92.2995,1.01993,1.85119,1.30158,0.00952,0.83333,0.53254,0.30946,1.2465,3.2361,1.64162,0.000176456,0.000176456,0.000176456
31,95.1526,1.30149,2.44746,1.71196,0.00979,0.83333,0.53257,0.27841,1.28655,3.21749,1.64902,0.000174052,0.000174052,0.000174052
32,98.6766,0.87623,1.93308,1.15957,0.00979,0.83333,0.53257,0.27841,1.28655,3.21749,1.64902,0.000171083,0.000171083,0.000171083
33,103.742,1.15049,2.02608,1.31515,0.00963,0.83333,0.55729,0.30285,1.26412,3.23161,1.6119,0.000167547,0.000167547,0.000167547
34,108.413,1.00338,1.67178,1.31132,0.00963,0.83333,0.55729,0.30285,1.26412,3.23161,1.6119,0.000163446,0.000163446,0.000163446
35,113.426,1.01385,1.75804,1.30928,0.0094,0.83333,0.55725,0.33084,1.2732,3.2056,1.64174,0.000158779,0.000158779,0.000158779
36,117.974,0.94611,1.85777,1.25499,0.0094,0.83333,0.55725,0.33084,1.2732,3.2056,1.64174,0.000153546,0.000153546,0.000153546
37,122.924,0.89707,1.7058,1.19842,0.00919,0.83333,0.55721,0.32478,1.23672,3.18451,1.6033,0.000147747,0.000147747,0.000147747
38,127.537,0.9515,1.65112,1.1813,0.00919,0.83333,0.55721,0.32478,1.23672,3.18451,1.6033,0.000141382,0.000141382,0.000141382
39,132.108,1.01332,1.82366,1.31704,0.01191,1,0.57605,0.34251,1.20065,3.17916,1.55238,0.000134452,0.000134452,0.000134452
40,136.698,0.64066,1.73432,1.2066,0.01191,1,0.57605,0.34251,1.20065,3.17916,1.55238,0.000126955,0.000126955,0.000126955
41,141.565,0.89848,2.02669,1.23648,0.0116,1,0.57777,0.34854,1.18135,3.1613,1.48254,0.000118893,0.000118893,0.000118893
42,146.032,0.74709,1.65204,1.02334,0.0116,1,0.57777,0.34854,1.18135,3.1613,1.48254,0.000110264,0.000110264,0.000110264
43,151.075,0.8805,2.12663,1.25319,0.01161,1,0.581,0.33736,1.15283,3.12964,1.4826,0.00010107,0.00010107,0.00010107
44,155.584,0.8053,1.8634,1.12597,0.01161,1,0.581,0.33736,1.15283,3.12964,1.4826,9.13102e-05,9.13102e-05,9.13102e-05
45,160.219,0.77944,1.81458,0.94903,0.01857,1,0.5823,0.33719,1.12657,3.07812,1.4578,8.09843e-05,8.09843e-05,8.09843e-05
46,164.661,0.63099,1.67667,1.06749,0.01857,1,0.5823,0.33719,1.12657,3.07812,1.4578,7.00924e-05,7.00924e-05,7.00924e-05
47,169.277,0.82161,1.9021,1.36387,0.43947,0.58333,0.57777,0.4019,1.17096,3.02723,1.52681,5.86347e-05,5.86347e-05,5.86347e-05
48,173.778,0.8108,1.77312,1.14215,0.43947,0.58333,0.57777,0.4019,1.17096,3.02723,1.52681,4.66111e-05,4.66111e-05,4.66111e-05
49,178.62,0.73292,1.4953,1.06318,0.71469,0.54722,0.57982,0.40605,1.14032,2.99429,1.52493,3.40216e-05,3.40216e-05,3.40216e-05
50,183.257,0.72068,1.61182,1.06307,0.71469,0.54722,0.57982,0.40605,1.14032,2.99429,1.52493,2.08663e-05,2.08663e-05,2.08663e-05
