epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.26796,0,71.4044,0,0,0,0,0,0,54.8534,0,0,0,0
2,8.80834,0,71.3709,0,0,0,0,0,0,54.8804,0,1.40071e-05,1.40071e-05,1.40071e-05
3,13.4573,0,71.3317,0,0,0,0,0,0,54.9168,0,2.74482e-05,2.74482e-05,2.74482e-05
4,17.7105,0,70.9494,0,0,0,0,0,0,54.9559,0,4.03235e-05,4.03235e-05,4.03235e-05
5,22.0432,0,70.7013,0,0,0,0,0,0,54.9986,0,5.26329e-05,5.26329e-05,5.26329e-05
6,26.1113,0,70.3938,0,0,0,0,0,0,55.0396,0,6.43764e-05,6.43764e-05,6.43764e-05
7,30.1676,0,69.9949,0,0,0,0,0,0,55.0689,0,7.55541e-05,7.55541e-05,7.55541e-05
8,34.3492,0,69.568,0,0,0,0,0,0,55.0808,0,8.61658e-05,8.61658e-05,8.61658e-05
9,38.5657,0,69.3319,0,0,0,0,0,0,55.0791,0,9.62117e-05,9.62117e-05,9.62117e-05
10,42.8468,0,68.8622,0,0,0,0,0,0,55.0623,0,0.000105692,0.000105692,0.000105692
11,47.1204,0,68.5054,0,0,0,0,0,0,55.0315,0,0.000114606,0.000114606,0.000114606
12,51.0578,0,67.951,0,0,0,0,0,0,54.9904,0,0.000122954,0.000122954,0.000122954
13,55.1363,0,67.3848,0,0,0,0,0,0,54.9553,0,0.000130736,0.000130736,0.000130736
14,59.4201,0,66.9632,0,0,0,0,0,0,54.918,0,0.000137953,0.000137953,0.000137953
15,63.8337,0,66.3091,0,0,0,0,0,0,54.8913,0,0.000144603,0.000144603,0.000144603
16,68.3226,0,65.7647,0,0,0,0,0,0,54.8599,0,0.000150688,0.000150688,0.000150688
17,72.6131,0,65.0516,0,0,0,0,0,0,54.8156,0,0.000156207,0.000156207,0.000156207
18,76.6712,0,64.4475,0,0,0,0,0,0,54.8156,0,0.00016116,0.00016116,0.00016116
19,80.8587,0,64.3012,0,0,0,0,0,0,54.7982,0,0.000165547,0.000165547,0.000165547
20,84.9008,0,63.5458,0,0,0,0,0,0,54.7982,0,0.000169368,0.000169368,0.000169368
